startNode,endNode,label
256,768,3+
128,384,3+
64,192,3+
192,576,3+
32,96,3+
96,288,3+
288,864,3+
16,48,3+
48,144,3+
144,432,3+
8,24,3+
24,72,3+
72,216,3+
216,648,3+
4,12,3+
12,36,3+
36,108,3+
108,324,3+
324,972,3+
2,6,3+
6,18,3+
18,54,3+
54,162,3+
162,486,3+
1,3,3+
3,9,3+
9,27,3+
27,81,3+
81,243,3+
243,729,3+
64,576,3+
32,288,3+
96,864,3+
16,144,3+
48,432,3+
8,72,3+
24,216,3+
72,648,3+
4,36,3+
12,108,3+
36,324,3+
108,972,3+
2,18,3+
6,54,3+
18,162,3+
54,486,3+
1,9,3+
3,27,3+
9,81,3+
27,243,3+
81,729,3+
32,864,3+
16,432,3+
8,216,3+
24,648,3+
4,108,3+
12,324,3+
36,972,3+
2,54,3+
6,162,3+
18,486,3+
1,27,3+
3,81,3+
9,243,3+
27,729,3+
8,648,3+
4,324,3+
12,972,3+
2,162,3+
6,486,3+
1,81,3+
3,243,3+
9,729,3+
4,972,3+
2,486,3+
1,243,3+
3,729,3+
1,729,3+
